zip,zip_code,mhi_avg,pmh_avg,hei_avg,pci_avg,mhi_avg1,sph_avg,is_avg,hsd_avg,bd_avg
92703,92703,15.88181818,15.71818182,89.20454545,19130.04545,64449.72727,18.23636364,38.84090909,56.01363636,12.19090909
92704,92704,10.75833333,14.05,72.00416667,23608.16667,76149.91667,18.59166667,37.25833333,61.16666667,18.79166667
92705,92705,17.0826087,12.04347826,32.75652174,42127,99294.52174,15.02608696,33.51304348,69.72173913,36.78695652
92706,92706,16.1,14.39230769,73.42307692,24078.23077,71271.76923,15.97692308,36.85384615,58.59230769,16.75384615
92707,92707,9.83125,14.71875,73.95,23138.25,72563.75,21.8625,37.0875,56.725,16.23125
92708,92708,23.48888889,11.36111111,39.8,36033.88889,87048.55556,12.32222222,34.78888889,86.28333333,36.91111111
92711,92711,28.1,12.5,52.3,33098,95851,21.5,34.2,87.8,31.6
92728,92728,21.4,11.1,38.1,41673,67833,19.4,33.4,88.6,40.3
92735,92735,2.8,17.9,94.4,14001,50404,16.9,39.5,51.5,3.6
92780,92780,15.90625,12.525,44.65,35167.0625,82305.3125,22.25625,34.6875,78.04375,32.675
92781,92781,20.6,11.8,41.3,40413,71667,21,33.7,88.6,31.9
92782,92782,9.071428571,9.957142857,15.61428571,38725.85714,89936.14286,3.928571429,33.51428571,54.88571429,38.9
92799,92799,7.9,14.2,65.6,28054,74972,24.2,36.4,77.3,24.9
92801,92801,28.87727273,13.95,68.49545455,25758.68182,70163.68182,24.28636364,36.78636364,75.18181818,21.74090909
92802,92802,18.95,13.12142857,68.57857143,22923.64286,65592.64286,20.15714286,34.45714286,68.32857143,18.9
92803,92803,17.7,13.9,77.6,24309,65040,32.5,36.9,71.3,22.7
92804,92804,27.36923077,13.62307692,64.54615385,27125.80769,73423.38462,21.37692308,36.99230769,78.3,23.05384615
92805,92805,18.1875,13.95,70.21875,19762,57204,21.575,34.66875,55.675,16.30625
92806,92806,15.81176471,12.55294118,56.71176471,25928.05882,66492.47059,18.55882353,33.41764706,64.1,22.43529412
92807,92807,12.8125,10.675,16.64375,44932.6875,104873.4375,13.35625,31,80.175,38.46875
92808,92808,6.72,10.56,7.82,55538.4,136903.2,12.14,32.84,94.96,54.2
92809,92809,11.4,10.7,9.4,54690,106982,17.5,32.8,98.6,60.2
92812,92812,0,0,0,1694,0,0,0,0,0
92814,92814,37.2,12.1,59.1,34495,81625,17.3,35.4,79,27.7
92815,92815,20.2,16,81.1,0,0,0,38.2,0,0
92816,92816,24.2,13,59,30034,63854,21.5,35.5,88.9,28
92817,92817,11.1,11.5,12.6,42960,99934,18.3,33.5,92.9,35.2
92821,92821,20.15833333,11.29166667,22.175,38288.66667,89724.16667,15.28333333,32.81666667,84,39.35833333
92822,92822,25.9,12.8,31.4,35879,77589,48.7,34,79.9,27.7
92823,92823,19.65,10.5,10.075,32806,86502.5,10.825,32.075,71.425,35.95
92825,92825,25.8,18.2,95.6,15388,51763,37.4,39.5,60.6,16.7
92831,92831,22.99090909,13.2,43.55454545,36526.09091,85736,19.86363636,34,90.50909091,41.17272727
92832,92832,32.73636364,13.37272727,54.9,36136.09091,83652.36364,15.15454545,34.84545455,75.84545455,34.18181818
92833,92833,29.15384615,11.53076923,43.56923077,33207.30769,84897.38462,15.36153846,34.95384615,72.64615385,33.05384615
92834,92834,25.25,16.45,68.5,25119.5,62465,18.05,36.25,88.7,39.55
92835,92835,25.2625,11.28125,25.04375,41476.5625,95978.25,16.10625,32.93125,80.61875,44.55
92836,92836,34.2,12.4,37.4,39111,84904,7.2,33.8,96.9,50
92837,92837,56,11.9,40.2,53025,76505,19.6,33.8,92.8,33.5
92838,92838,47.7,8.8,5.1,66199,171058,0,29.6,0,65.6
92840,92840,23.95625,13.3,67.94375,26633.8125,76193.5625,21.54375,37.3375,76.4375,22.34375
92841,92841,29.64375,13.25625,65.025,29268.9375,75599.1875,21.5875,37.25,79.10625,25.3625
92842,92842,29.4,14,81.4,26541,54759,26.1,39.7,81.5,29.7
92843,92843,22.37647059,13.10588235,76.83529412,23967.17647,73857.82353,21.33529412,38.36470588,69.71176471,18.78823529
92844,92844,36.53,12.91,77.95,25330.7,62138,26.32,39.09,73.13,23.48
92845,92845,9.333333333,11.65,17.76666667,42686.33333,104681.5,7.066666667,33.2,90.05,35.83333333
92846,92846,20.9,12,16.9,50416,124735,6.1,33.6,92,36.9
92856,92856,34.6,15.1,41.3,36079,65990,16.3,34.7,86.5,32.3
92857,92857,14.3,13.1,25.7,37355,89832,16,34,85,31.6
92859,92859,10.8,11.9,27.4,53133,129538,22.7,33.6,84.8,34.1
92861,92861,11.6,10.88,18.36,64459,138114.8,10.5,32.18,90.92,50.7
92863,92863,5.4,13.7,47,35076,79688,18.2,34.8,85.1,33.7
92865,92865,12.1,13.25,38.425,37539,95652.5,16.4375,34.2375,84.025,35.75
92866,92866,17.55,14.475,48.2,38463.25,79705.75,14.425,34.775,82.8,33.875
92867,92867,10.73529412,12.25294118,30.48235294,50274.88235,115663.9412,12.58823529,33.31764706,87.48823529,42.70588235
92868,92868,18.62857143,13.55714286,61.74285714,21482.42857,55056.42857,14.61428571,36.22857143,52.62857143,17.85714286
92869,92869,14.66,10.99,18.58,56951.8,136297.9,13.67,32.41,62.41,50.04
92870,92870,12.825,11.295,27.255,35565.45,91852.8,14.58,31.705,76.19,36.05
92871,92871,27.7,10.2,13.9,43809,90060,7.5,31.2,95.7,43.9
92885,92885,32.1,11.6,15.2,48415,102031,9.6,32,92.4,41.5
92886,92886,12.15,10.71875,7.43125,49814.9375,122603.6875,10.35,31.8875,83.4875,46.5625
92887,92887,5.714285714,10.5,8.457142857,59935.42857,137994.1429,7.7,32.28571429,95.71428571,56.27142857
